customer_tweet_id,customer_tweet,customer_created_at,customer_in_response_to_tweet_id,brand_reply_id,brand_reply,brand_created_at,has_link,customer_tweet_clean,brand_reply_clean
1201250,"So... I wanted to cancel Twitch Prime, but I have to go to @115821 prime and it tells me I am not a Prime member anyway? Huh?",Wed Oct 25 12:55:48 +0000 2017,,1201248,@402245 That's odd... is there another account you signed up for Prime? You can disconnect the account from Twitch settings. ^MJ,Wed Oct 25 13:09:08 +0000 2017,False,"So... I wanted to cancel Twitch Prime, but I have to go to prime and it tells me I am not a Prime member anyway? Huh?",That's odd... is there another account you signed up for Prime? You can disconnect the account from Twitch settings. ^MJ
2634847,"Blaady @115850. I've had Prime Music on my Echo for past 2 weeks. Now they yank it out and say ""coming soon..."" I don't get how I can have Prime Video but no Prime Music. BTW Saavn is a poor substitute since it keeps defaulting to bloody Hindi music for stations. #fwprant #fb",Fri Nov 17 18:54:37 +0000 2017,,2634846,"@743842 I'm sorry about this experience, Ashwin. Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. ^MK",Fri Nov 17 19:20:35 +0000 2017,True,"Blaady . I've had Prime Music on my Echo for past 2 weeks. Now they yank it out and say ""coming soon..."" I don't get how I can have Prime Video but no Prime Music. BTW Saavn is a poor substitute since it keeps defaulting to bloody Hindi music for stations. #fwprant #fb","I'm sorry about this experience, Ashwin. Please report this to our support team here: <URL> and we'll look into this. ^MK"
2777513,@115830 is this real or a scam? Please advise https://t.co/VhDaqgq8cV,Tue Nov 21 15:20:10 +0000 2017,,2777512,"@775990 For tips on how to identify if an e-mail was sent from Amazon, please see here: https://t.co/t1Jct659HX ^CO",Tue Nov 21 15:30:31 +0000 2017,True,is this real or a scam? Please advise <URL>,"For tips on how to identify if an e-mail was sent from Amazon, please see here: <URL> ^CO"
2391893,"A harry potter series too pleaseee!!
@116602 @115821 ...whoever is reading this!!",Tue Nov 14 10:06:03 +0000 2017,,2391892,@688863 We will continue to add new content. Keep checking https://t.co/FYM9PIZOR8 where we highlight the latest movies and TV shows we have available. ^MP,Tue Nov 14 10:31:26 +0000 2017,True,A harry potter series too pleaseee!! ...whoever is reading this!!,We will continue to add new content. Keep checking <URL> where we highlight the latest movies and TV shows we have available. ^MP
2363250,@AmazonHelp When Spain will have available Alexa Speakers ?,Mon Nov 13 21:23:45 +0000 2017,,2363249,"@682332 Hi Saljr, please keep checking on Amazon Spain's website, as soon as Alexa becomes available in Spain, all the related information will be there! ^CB",Mon Nov 13 21:35:00 +0000 2017,False,When Spain will have available Alexa Speakers ?,"Hi Saljr, please keep checking on Amazon Spain's website, as soon as Alexa becomes available in Spain, all the related information will be there! ^CB"
996708,Amazon said my hat was out for delivery three hours ago from a warehouse in town. where’s my hat Amazon? 🌝,Sun Oct 22 16:37:41 +0000 2017,,996707,@356017 I'm sorry for the wait! Deliveries can be made until 9PM. Please let us know if you haven't received it by then. ^BH,Sun Oct 22 16:40:33 +0000 2017,False,Amazon said my hat was out for delivery three hours ago from a warehouse in town. where’s my hat Amazon? 🌝,I'm sorry for the wait! Deliveries can be made until 9PM. Please let us know if you haven't received it by then. ^BH
386478,"@115850 @AmazonHelp @115821 - Order# 408-3265294-3245900,I haven't recevied my product yet, nobody is giving the date ,i am a prime member",Mon Oct 09 12:51:49 +0000 2017,,386477,@207490 as we consider it to be personal info. Our Twitter page is public. (3/3) ^ST,Mon Oct 09 13:09:30 +0000 2017,False,"- Order# <PHONE>,I haven't recevied my product yet, nobody is giving the date ,i am a prime member",as we consider it to be personal info. Our Twitter page is public. (3/3) ^ST
2966530,@AmazonHelp by any chance would you be able to send me another email confirming my cancellation of an order because i changed email,Wed Nov 29 22:44:13 +0000 2017,,2966529,@184826 We don't access to your account with Twitter but you can reach out to us here: https://t.co/hApLpMlfHN ^DD,Wed Nov 29 22:52:32 +0000 2017,True,by any chance would you be able to send me another email confirming my cancellation of an order because i changed email,We don't access to your account with Twitter but you can reach out to us here: <URL> ^DD
1727907,@AmazonHelp I need my account restored/password reset but there is a problem recognising my email address,Tue Nov 07 10:34:11 +0000 2017,,1727906,"@141505 Hi, sorry to hear that. Please call us on the number found here: https://t.co/zYVX1Qi29G so an agent can look into this. ^JJ",Tue Nov 07 10:54:00 +0000 2017,True,I need my account restored/password reset but there is a problem recognising my email address,"Hi, sorry to hear that. Please call us on the number found here: <URL> so an agent can look into this. ^JJ"
164859,"@115821 ,@115850 I had ordered  a product on the 21st of November. The courier guy has not yet delivered my product. I need help .",Fri Nov 24 19:38:46 +0000 2017,,164857,@154211 We dispatch packages so that it reaches you by the estimated date. Could you please help us with the estimated delivery date of your order? ^MO,Fri Nov 24 20:00:00 +0000 2017,False,", I had ordered a product on the 21st of November. The courier guy has not yet delivered my product. I need help .",We dispatch packages so that it reaches you by the estimated date. Could you please help us with the estimated delivery date of your order? ^MO
1120409,"@115830 4th time I've been in my house&amp;Amazon dont knock once,just post the card,&amp;take package to a house I don't know!Im PayingPrime why?",Sun Oct 15 12:57:25 +0000 2017,,1120408,"@369810 I'm sorry for the delivery troubles, Celine! Please reach us here: https://t.co/JzP7hlA23B so we can take a closer look. ^AB",Sun Oct 15 13:06:35 +0000 2017,True,"4th time I've been in my house&Amazon dont knock once,just post the card,&take package to a house I don't know!Im PayingPrime why?","I'm sorry for the delivery troubles, Celine! Please reach us here: <URL> so we can take a closer look. ^AB"
417255,"Decided! No more shopping from @115850. After 5-6 calls, in total, around 2 hours of talking, even the top level associates couldn’t resolve my issue despite being their mistake. I’m sorry, but you just lost a potential customer, Amazon India.",Tue Oct 10 03:11:28 +0000 2017,,417254,@214554 Please share all your concerns and details on the link here: https://t.co/GIJyeYqKE0 &amp; I'll contact you soon. 2/2 ^PS,Tue Oct 10 03:39:29 +0000 2017,True,"Decided! No more shopping from . After 5-6 calls, in total, around 2 hours of talking, even the top level associates couldn’t resolve my issue despite being their mistake. I’m sorry, but you just lost a potential customer, Amazon India.",Please share all your concerns and details on the link here: <URL> & I'll contact you soon. 2/2 ^PS
298437,@AmazonHelp how much gigabytes cloud storage is being provided with amazon drive services for prime customers?,Fri Oct 06 19:31:43 +0000 2017,,298435,"@187109 We can help, Manick! Could you clarify which website you are ordering on? (https://t.co/LhIbDej2Bh.) Let us know! ^VB",Fri Oct 06 19:39:00 +0000 2017,True,how much gigabytes cloud storage is being provided with amazon drive services for prime customers?,"We can help, Manick! Could you clarify which website you are ordering on? (<URL> Let us know! ^VB"
2526957,".@115821 &amp; @118706, two packages scheduled for delivery today. One wasn't delivered, because they couldn't get through the building door, despite having a key. The other is simply delayed? What's the point of prime again? Also, 45 minutes on hold, what year is it?",Thu Nov 16 04:25:57 +0000 2017,,2526955,"@719506 I apologize for the wait, we appreciate your patience. Please, keep us updated on the outcome of your call. ^EB",Thu Nov 16 04:32:29 +0000 2017,False,". & , two packages scheduled for delivery today. One wasn't delivered, because they couldn't get through the building door, despite having a key. The other is simply delayed? What's the point of prime again? Also, 45 minutes on hold, what year is it?","I apologize for the wait, we appreciate your patience. Please, keep us updated on the outcome of your call. ^EB"
2748289,Someday @115821 will send me a Funko Pop that isn’t in a crushed box. I think. Maybe. @AmazonHelp https://t.co/N8QQVx4UHv,Mon Nov 20 23:09:57 +0000 2017,,2748288,@769529 I'm sorry to see this! Please check here: https://t.co/8uJ4q23oWc for replacement/refund options! ^TR,Mon Nov 20 23:26:29 +0000 2017,True,Someday will send me a Funko Pop that isn’t in a crushed box. I think. Maybe. <URL>,I'm sorry to see this! Please check here: <URL> for replacement/refund options! ^TR
1239348,I bought something on Friday the 10th and my item was supposed to be here yesterday and it hasn’t even shipped yet. It even has free two day Prime. What is going on? I’m about to cancel my Prime membership. This is inconvenient and ridiculous. @115821 @AmazonHelp,Mon Nov 13 09:26:34 +0000 2017,,1239346,"@410703 Hi Chris, can I ask if you have received an e-mail with a change in delivery date at all? ^KI",Mon Nov 13 09:31:00 +0000 2017,False,I bought something on Friday the 10th and my item was supposed to be here yesterday and it hasn’t even shipped yet. It even has free two day Prime. What is going on? I’m about to cancel my Prime membership. This is inconvenient and ridiculous.,"Hi Chris, can I ask if you have received an e-mail with a change in delivery date at all? ^KI"
758435,"WTF is going on @115850 
I seems like you have started delivering the products at night😡😡 https://t.co/UgILSpRZ1i",Wed Oct 11 18:48:38 +0000 2017,,758434,@301231 Sorry for the trouble with your order. Kindly connect with us here: https://t.co/vlvfJr4nN9. We'll look into it. ^SQ,Wed Oct 11 19:14:37 +0000 2017,True,WTF is going on I seems like you have started delivering the products at night😡😡 <URL>,Sorry for the trouble with your order. Kindly connect with us here: <URL> We'll look into it. ^SQ
2381445,"Another @115821 package getting delivered by @118706 means I won't be getting it on time. In fact, it might be lost, like last time!",Sun Oct 29 07:29:25 +0000 2017,,2381444,"@184217 Hey, what delivery date were you initially provided? ^TP",Sun Oct 29 07:45:24 +0000 2017,False,"Another package getting delivered by means I won't be getting it on time. In fact, it might be lost, like last time!","Hey, what delivery date were you initially provided? ^TP"
2809405,"@AmazonHelp Dear Customer, Promotional Amazon Gift Card ID __credit_card__ of value Rs.100.0 has been linked to your Amazon Pay balance.",Wed Nov 22 05:25:52 +0000 2017,,2809404,@783518 You can use this balance to purchase anything on our website. ^HR,Wed Nov 22 05:54:31 +0000 2017,False,"Dear Customer, Promotional Amazon Gift Card ID __credit_card__ of value Rs.100.0 has been linked to your Amazon Pay balance.",You can use this balance to purchase anything on our website. ^HR
1474635,Cancelling my @AmazonHelp @115821 #prime membership as soon as I get home. Tired of misdelivered packages and customer service run-around,Thu Nov 02 21:43:55 +0000 2017,,1474633,"@456672 I'm sorry for the poor experience! Without giving account/personal details, can you tell us what's going on? ^AC",Thu Nov 02 21:48:00 +0000 2017,False,Cancelling my #prime membership as soon as I get home. Tired of misdelivered packages and customer service run-around,"I'm sorry for the poor experience! Without giving account/personal details, can you tell us what's going on? ^AC"
1024238,@115850 You cheated one of the oldest customer of yours.  Amazon was better till yesterday . #angrycustomer,Sat Oct 14 16:32:56 +0000 2017,,1024236,@362394 Could you please tell us what went wrong Ayush? ^HN,Sat Oct 14 16:48:34 +0000 2017,False,You cheated one of the oldest customer of yours. Amazon was better till yesterday . #angrycustomer,Could you please tell us what went wrong Ayush? ^HN
564906,@AmazonHelp can I buy an Amazon gift card using a regular Visa Gift Card?,Sun Dec 03 00:23:29 +0000 2017,,564905,@157468 Yes! You can purchase an Amazon Gift card with a Visa Gift Card. Are you experiencing issues with this today? ^JP,Sun Dec 03 00:30:35 +0000 2017,False,can I buy an Amazon gift card using a regular Visa Gift Card?,Yes! You can purchase an Amazon Gift card with a Visa Gift Card. Are you experiencing issues with this today? ^JP
660369,"@amazonhelp Courier also indicated ""delivery attempt made"" - I was home all day, NO attempt made. Garage open, car in driveway, no ""ATTEMPT"" for delivering towels, gravy dish, straws. SAME thing happened a few months ago - seems Amazon is hiring contractors who can't execute 2/3",Wed Nov 22 23:42:02 +0000 2017,,660368,"@115848 I'm truly sorry you haven't received your package yet! Have you reported these occurrences to us, so we can reach out to the carrier on your behalf: https://t.co/CYqkdTSJy9? If so, what options were provided? ^GM",Wed Nov 22 23:58:34 +0000 2017,True,"Courier also indicated ""delivery attempt made"" - I was home all day, NO attempt made. Garage open, car in driveway, no ""ATTEMPT"" for delivering towels, gravy dish, straws. SAME thing happened a few months ago - seems Amazon is hiring contractors who can't execute 2/3","I'm truly sorry you haven't received your package yet! Have you reported these occurrences to us, so we can reach out to the carrier on your behalf: <URL> If so, what options were provided? ^GM"
2624871,@AmazonHelp what if it doesn’t arrive in time https://t.co/uqMEk4zPOd,Mon Oct 30 22:39:01 +0000 2017,,2624869,@310488 I'm sorry your order is delayed! Please keep an eye on the tracking information for the delivery date update. ^QJ,Mon Oct 30 23:10:37 +0000 2017,False,what if it doesn’t arrive in time <URL>,I'm sorry your order is delayed! Please keep an eye on the tracking information for the delivery date update. ^QJ
1490375,"@115821 Customer since way before Prime existed. FYI, last few and many deliveries are becoming unreliable and late. #badexperience #moonopolywontlast",Sun Nov 26 01:56:31 +0000 2017,,1490374,"@466126 I'm so sorry that we've let you down, Travis. Without providing any account specific details, please tell us, are you experiencing an issue with a current order? ^HS",Sun Nov 26 02:00:37 +0000 2017,False,"Customer since way before Prime existed. FYI, last few and many deliveries are becoming unreliable and late. #badexperience #moonopolywontlast","I'm so sorry that we've let you down, Travis. Without providing any account specific details, please tell us, are you experiencing an issue with a current order? ^HS"
2447464,"@115851 why does amazon delay Hawaii prime shipments for so long? Sure, it's not 2 day shipping as with mainland members, and I don't expect to get free 2-day shipping, but is there some reason not to ship the item out quickly regardless of the shipping method? Frustrating!",Wed Nov 15 01:29:42 +0000 2017,,2447463,"@542796 I'm sorry for the frustration! We strive to deliver as quickly as possible. Some items may take longer to process than others or are temporarily unavailable. In those cases, as soon as the items are available we will ship them. ^AC",Wed Nov 15 01:47:31 +0000 2017,False,"why does amazon delay Hawaii prime shipments for so long? Sure, it's not 2 day shipping as with mainland members, and I don't expect to get free 2-day shipping, but is there some reason not to ship the item out quickly regardless of the shipping method? Frustrating!","I'm sorry for the frustration! We strive to deliver as quickly as possible. Some items may take longer to process than others or are temporarily unavailable. In those cases, as soon as the items are available we will ship them. ^AC"
532510,@115821 what kind of calendar do you use where 2 day prime shipping keeps taking over a week?,Sat Dec 02 11:17:39 +0000 2017,,532508,"@243359 Hello, I am sorry to hear the parcel has been delayed. What is the current status showing on the tracking? You can check here: https://t.co/Y5jpI9ys9c ^CR",Sat Dec 02 11:28:00 +0000 2017,True,what kind of calendar do you use where 2 day prime shipping keeps taking over a week?,"Hello, I am sorry to hear the parcel has been delayed. What is the current status showing on the tracking? You can check here: <URL> ^CR"
2675682,@115833 dot used to turn on all lights in my house with “Alexa turn on lights”. Today she says there isn’t anything called lights. Help?,Tue Oct 31 13:10:02 +0000 2017,,2675680,@753136 Sorry for the troubles! Have you tried to restart your device? Keep us updated! ^AB,Tue Oct 31 13:14:26 +0000 2017,False,dot used to turn on all lights in my house with “Alexa turn on lights”. Today she says there isn’t anything called lights. Help?,Sorry for the troubles! Have you tried to restart your device? Keep us updated! ^AB
379431,this is #worst kind of service. just tell how to #delete my amazon account. Just empty assurance from customer service. #amazon @115850 https://t.co/IREbpM9CBh,Mon Oct 09 06:32:53 +0000 2017,,379430,"@185484 I'm sorry for the unpleasant experience you had, write to us here: https://t.co/GIJyeYqKE0 &amp; we'll get in touch with you. ^MJ",Mon Oct 09 06:49:31 +0000 2017,True,this is #worst kind of service. just tell how to #delete my amazon account. Just empty assurance from customer service. #amazon <URL>,"I'm sorry for the unpleasant experience you had, write to us here: <URL> & we'll get in touch with you. ^MJ"
2523759,@115850 lodge a request for return.still waiting for courier person to take it back. Kindly look into matter. https://t.co/rinN3wMg1j,Mon Oct 30 08:50:28 +0000 2017,,2523758,@414921 Please get in touch with our team using this link: https://t.co/rS49hgaADF and we'll be happy to help. ^AK (2/2),Mon Oct 30 09:11:29 +0000 2017,True,lodge a request for return.still waiting for courier person to take it back. Kindly look into matter. <URL>,Please get in touch with our team using this link: <URL> and we'll be happy to help. ^AK (2/2)
1568135,Good bye @115850 ! Pathetic service and poor customer care.. How will you do the business?,Sat Nov 04 16:00:01 +0000 2017,,1568134,"@469051 Sorry for the miss. As you have already shared your details, we are working on it and will get back to you with an update. ^RI",Sat Nov 04 16:29:26 +0000 2017,False,Good bye ! Pathetic service and poor customer care.. How will you do the business?,"Sorry for the miss. As you have already shared your details, we are working on it and will get back to you with an update. ^RI"
1266447,@AmazonHelp enter your name associated with your account and I forgot the name so how can I get my account back and all what I want is,Thu Oct 26 12:49:33 +0000 2017,,1266446,"@416527 Normally it would be your own name, as the account holder? Or do you mean you don't have the email address? ^AS",Thu Oct 26 12:51:30 +0000 2017,False,enter your name associated with your account and I forgot the name so how can I get my account back and all what I want is,"Normally it would be your own name, as the account holder? Or do you mean you don't have the email address? ^AS"
2141330,"Dear @115821, I ordered a book but received a bar of soap instead! The soap is nice but I would rather have the book...Please assist? Thanks.",Wed Nov 08 22:46:41 +0000 2017,,2141328,@629680 I'm sorry you received the wrong item. You can check out our return and replacement options here: https://t.co/FRsodhtXKJ ^FJ,Wed Nov 08 22:54:35 +0000 2017,True,"Dear , I ordered a book but received a bar of soap instead! The soap is nice but I would rather have the book...Please assist? Thanks.",I'm sorry you received the wrong item. You can check out our return and replacement options here: <URL> ^FJ
2728051,@AmazonHelp suspending my account because of a fraudulent transaction that had nothing to do with me - joke. Any chance of getting help from someone in customer services who doesn’t just send repeated template replies??,Mon Nov 20 13:55:14 +0000 2017,,2728045,"@764949 Hey Gillian, did you get any emails form us advising which steps to take in order to get the account removed from the hold? ^MA",Mon Nov 20 14:03:00 +0000 2017,False,suspending my account because of a fraudulent transaction that had nothing to do with me - joke. Any chance of getting help from someone in customer services who doesn’t just send repeated template replies??,"Hey Gillian, did you get any emails form us advising which steps to take in order to get the account removed from the hold? ^MA"
556992,@AmazonHelp please check out this order 113-5563717-5305866. There is no reason for delaying. No explanation from customer service. Spent almost a week after delivery due.,Sat Dec 02 21:20:45 +0000 2017,,556991,"@250058 Hey there! With Twitter, we're unable to access order or account information but we'd like to help! When you spoke to our customer service rep, what information or insight was provided? Please, let us know! ^JE",Sat Dec 02 21:28:00 +0000 2017,False,please check out this order <PHONE>. There is no reason for delaying. No explanation from customer service. Spent almost a week after delivery due.,"Hey there! With Twitter, we're unable to access order or account information but we'd like to help! When you spoke to our customer service rep, what information or insight was provided? Please, let us know! ^JE"
2902542,"Hi @115830 , @10642 lets you down big time - have you thought of using another courier?",Tue Nov 28 18:35:27 +0000 2017,,2902539,@803925 So sorry to hear about the issues that you've had with your deliveries! Is there a current order that we'd be able to help with? ^GS,Tue Nov 28 18:40:29 +0000 2017,False,"Hi , lets you down big time - have you thought of using another courier?",So sorry to hear about the issues that you've had with your deliveries! Is there a current order that we'd be able to help with? ^GS
291354,@AmazonHelp i just placed an order with deliver next day by 1pm and its saying it wont arrive till monday?,Fri Oct 06 15:56:14 +0000 2017,,291352,@185373 I'm sorry your item is arriving later than expected. We'd like to confirm what's happened here: https://t.co/JzP7hlA23B ^RA,Fri Oct 06 16:02:30 +0000 2017,True,i just placed an order with deliver next day by 1pm and its saying it wont arrive till monday?,I'm sorry your item is arriving later than expected. We'd like to confirm what's happened here: <URL> ^RA
1307799,@115850 making false promise n not deliver service in time,Mon Oct 16 10:15:04 +0000 2017,,1307798,@425602 Sorry about the hassle. We'd like to help you. Please fill in the details here: https://t.co/GIJyeYqKE0 &amp; we'll reach you. ^BS,Mon Oct 16 10:38:29 +0000 2017,True,making false promise n not deliver service in time,Sorry about the hassle. We'd like to help you. Please fill in the details here: <URL> & we'll reach you. ^BS
580534,"@115850 @132994 
Why no  extra 3K for mobile exchange like it was there for #OnePlus5  ?
Any upcoming possibility ?",Tue Nov 28 16:30:03 +0000 2017,,580533,"@133261 We will try to provide the best offers to our customers all the time, Miravtmehta. The offers/promotions for any product will be displayed directly on the product details page. Request you to check the website. ^NK",Tue Nov 28 16:53:01 +0000 2017,False,Why no extra 3K for mobile exchange like it was there for #OnePlus5 ? Any upcoming possibility ?,"We will try to provide the best offers to our customers all the time, Miravtmehta. The offers/promotions for any product will be displayed directly on the product details page. Request you to check the website. ^NK"
2971961,@115821 @115833 no longer seems to be playing music from @115888. She acts like she is then just silence. 🙁,Thu Nov 30 01:04:06 +0000 2017,,2971960,@819708 Hey Dave! I'm sorry for the frustration. We'd love to help! I did check and Spotify is still supported. Let's try some troubleshooting mentioned here: https://t.co/MUvvt6qlh6 Keep us posted if it still won't play! ^AJ,Thu Nov 30 01:12:01 +0000 2017,True,no longer seems to be playing music from . She acts like she is then just silence. 🙁,Hey Dave! I'm sorry for the frustration. We'd love to help! I did check and Spotify is still supported. Let's try some troubleshooting mentioned here: <URL> Keep us posted if it still won't play! ^AJ
804011,Finally received my favorite united colors of benetton men navy blue sneaker. @30397 Thank you @115850 for fast delivery https://t.co/MkCCvBn2cN,Thu Oct 12 16:40:56 +0000 2017,,804010,@311609 Thanks for keeping us posted. Hope you are happy with the product. :) ^GD,Thu Oct 12 17:08:35 +0000 2017,False,Finally received my favorite united colors of benetton men navy blue sneaker. Thank you for fast delivery <URL>,Thanks for keeping us posted. Hope you are happy with the product. :) ^GD
2923466,"@AmazonHelp Did you stop guaranteeing 2 day shipping? If so, it’s not worth it to have prime. Three orders in one week that are delayed because they are delivered by personal drivers. I might be shopping somewhere else for Christmas.",Wed Nov 29 02:29:13 +0000 2017,,2923464,"@809012 Two-day Shipping is the transit time once the order has shipped. Have we missed the delivery dates provided at checkout and e-mail? If so, who is the carrier for these deliveries? You can check under Your Orders: https://t.co/aoTXzD82Ur ^AM",Wed Nov 29 02:38:00 +0000 2017,True,"Did you stop guaranteeing 2 day shipping? If so, it’s not worth it to have prime. Three orders in one week that are delayed because they are delivered by personal drivers. I might be shopping somewhere else for Christmas.","Two-day Shipping is the transit time once the order has shipped. Have we missed the delivery dates provided at checkout and e-mail? If so, who is the carrier for these deliveries? You can check under Your Orders: <URL> ^AM"
420972,Thanks Amazon 🙂 https://t.co/CJvN0NA4sq,Tue Oct 10 06:47:25 +0000 2017,,420970,@215328 Sorry to hear this. Which Amazon website did you purchase the order on? ^KM,Tue Oct 10 07:53:25 +0000 2017,False,Thanks Amazon 🙂 <URL>,Sorry to hear this. Which Amazon website did you purchase the order on? ^KM
230130,"@115850 Jst orderd a couple of thngs with my prime accnt and b4 order, delivery date was 2mrw. After paying online, it's saturday. Why? :(",Thu Oct 05 08:38:42 +0000 2017,,230129,@170831 We've responded to your query over DM. Kindly check the same. ^AP,Thu Oct 05 09:29:53 +0000 2017,False,"Jst orderd a couple of thngs with my prime accnt and b4 order, delivery date was 2mrw. After paying online, it's saturday. Why? :(",We've responded to your query over DM. Kindly check the same. ^AP
