customer_tweet_id,hard_case_category,tweet_text,drafted_reply,relevance_score,groundedness_score,tone_match_score,no_hallucinated_specifics_score,actionability_score
121127,low_retrieval_similarity,How can you tell is home? is playing . #Thanksgivingday2017,"""Hey there! We're glad you're enjoying your Thanksgiving Day with us! If you're having trouble with the audio, please try restarting your device. If the issue persists, let us know so we can help further. Happy listening!""",2,5,4,5,3
1728607,fraud_keyword,it’s a fraud Amazon I have not taken the delivery already notified your call centre <URL>,We've flagged this for immediate review by our security team.,4,5,3,5,2
2590679,pay_for_vocab_overlap,SECOND time this week I haven’t got my delivery on time despite paying for amazon prime since inception #angry,"Hi there, I'm sorry to hear about the delay. We always aim for timely deliveries and I apologize for this inconvenience. Please let us know if your order doesn't arrive by the updated delivery date.",5,5,4,5,3
1290427,pay_for_vocab_overlap,what is happening with your same day delivery. Yet again my order hasn’t been delivered or dispatched. What am I paying for???????,"""We're sorry to hear about this inconvenience. Could you please confirm the delivery date you were given in the confirmation email? It's possible there may have been a miscommunication or a delay. We're here to help sort this out.""",5,5,4,5,4
471560,near_verbatim_stress,#AmazonRechargesQuiz where are result.,"""We're working on announcing the winners soon. Please stay tuned.""",5,2,4,2,2
63826,fraud_keyword,Hi order number is <PHONE> ordered wallet yesterday but there is no wallet in it . Got empty box . See to it asap . This is a fraud happening and you will loose a valuable customer now registered number <PHONE> <URL>,We've flagged this for immediate review by our security team.,4,5,3,5,2
2610733,pay_for_vocab_overlap,what a joke! Pay for prime for next day delivery. 3 days later still no order. And last 4 emails from them are auto response with nobody answering my questions!,I'm sorry to hear about the inconvenience you've experienced. We aim to provide timely service. Could you please let us know if you received any order confirmation or updates from us?,4,5,4,5,3
230130,,"Jst orderd a couple of thngs with my prime accnt and b4 order, delivery date was 2mrw. After paying online, it's saturday. Why? :(","""Hi, I'm sorry to hear about the confusion with your delivery date. Could you please share more details about the order and the estimated delivery date mentioned in your order confirmation?""",5,5,4,5,4
1735634,low_retrieval_similarity_backfill,ok where is the Blackpool link for presale Gary Barlow it's vanished . ?????,"Hi, I'm sorry to hear you're having trouble finding the presale link for Gary Barlow. Let's try to resolve this together. Have you checked the official website or social media for the most recent updates?",5,5,4,5,4
931933,low_retrieval_similarity,And I love you,"""We're touched by your kind words! 😊""",5,5,5,5,2
2192530,low_retrieval_similarity,having an absolute nightmare with,"""We're sorry to hear you're having a tough time. Could you share more about the issue? We're here to help!""",4,5,4,5,3
2725938,fraud_keyword,"I received a confirmation email from Amazon UK confirming a purchase, but I live in the US and did not purchase anything in the UK. How can I forward this email to customer service? Looks legit and not a phishing email.",We've flagged this for immediate review by our security team.,4,5,3,5,3
1251954,low_retrieval_similarity_backfill,The PC app is horrible- takes forever to load and then freeze up right away :( Guess I'll use my phone at my desk -.-,"""Hello, I'm sorry to hear about the issues you're experiencing with the PC app. Could you please let us know which device and operating system you're using? This will help us provide more specific guidance. Meanwhile, you might want to try clearing the cache or reinstalling the app. Thank you for your feedback!""",5,5,4,5,5
2919904,pay_for_vocab_overlap,what’s going on in Miami regarding no deliveries? Isn’t that what I pay for? 2/hr delivery?,"""We apologize for the inconvenience. During peak times, delivery times may be affected. You can check the expected delivery time during checkout.""",4,3,4,3,3
1260149,fraud_keyword,"- please confirm- fake email/phishing #scam? Definitely haven't signed up for prime and ""amazon"" email address very dodgy! #Amazon <URL>",We've flagged this for immediate review by our security team.,5,5,3,5,3
1338584,low_retrieval_similarity_backfill,y’all need to control your twitch counter part they crazy,"""We're sorry to hear about your experience. We aim to provide the best service possible. Could you share more details so we can assist you better?""",4,5,4,5,4
600288,,I want to return something but the app is telling me item is not returnable. How do I find out why?,"Hi there, I'm sorry to hear you're having trouble with your return. Could you please check if the item is still within the return period on the website?",5,5,4,5,4
792043,pay_for_vocab_overlap,Phone booked & paid for on 4th Oct. No delivery yet! Cust Care keeps giving false promises. Sort this out. Can't keep waitin 4ever,"""We apologize for the inconvenience. Please wait for the updated delivery estimate. Your patience is greatly appreciated. 2/2""",4,5,4,5,1
2810756,fraud_keyword,Hey I ordered for a bluetooth speaker and received a mobile phone cover instead. What I considered as a myth turned out to be a reality. #Fraud,We've flagged this for immediate review by our security team.,4,5,3,5,2
441891,fraud_keyword,"#Fake_promises #Liar #fraud #Cheating #42inch tv ki 40"" paisa #khaya #Hsrrasing with #replacement #Irritating_Service <URL>",We've flagged this for immediate review by our security team.,4,5,3,5,2
1175594,low_retrieval_similarity_backfill,Where can I watch Outlander?,"""Hi there! We're thrilled to hear you're interested in Outlander. You can stream it on Prime Video. Enjoy your journey through the Highlands and beyond! 🏔️🛸""",5,3,4,3,3
2523373,fraud_keyword,Someone entered my home without permission and left an package behind. Just got off the phone with the police to report the b&e and suspicious package.,We've flagged this for immediate review by our security team.,4,5,3,5,2
1097848,low_retrieval_similarity,look forward to your partnership with,"""We're thrilled to hear about your enthusiasm for our partnership, Alex! Your support means a lot to us. We're here to help with any questions or needs you might have. Happy to assist!""",3,2,4,2,3
1137747,,i won skybags blue backpack in app treasure hunt contest i haven't received product yet. help ASAP,"""We're sorry to hear about the delay! Can you please provide the order number and the date you entered the contest? This will help us look into the matter.""",5,5,4,5,5
362035,fraud_keyword,wtf amazon 1 day I made an order with French amazon I'm getting phishing email with my partial credit card details!!,We've flagged this for immediate review by our security team.,5,5,3,5,2
907482,low_retrieval_similarity,"is seriously STILL cramming eggs in between gallons of milk, with predictable results. Why, , why? <URL>","""Hello, we're sorry to hear about this mix-up. Could you please provide more details about the order so we can assist you better?""",5,5,4,5,4
1983613,,received a scam email supposedly from you. Do I need to forward it to anyone to look into?,We've flagged this for immediate review by our security team.,5,5,3,5,3
174505,low_retrieval_similarity_backfill,hello guys I wanto ask you when I order a magazine what does single issue mean? a simple issue of the magazine,"""Hi there! A single issue typically refers to one copy of a magazine. If you're looking for more information on the specifics, feel free to reach out to the seller for clarification.""",5,5,4,5,4
975754,,#Poor Customer Service. £554 Order was out of stock but sent charged anyway! Spent 4 hrs on this problem then offered refund £5!!,"Hi, I'm sorry to hear about your experience. Could you please provide more details so we can assist you better?",4,5,4,5,3
2289710,low_retrieval_similarity,is a great guy. Truely but isn't trustworthy.,"Hi there! We're sorry to hear about your experience. We aim to provide the best service possible. If you'd like, we can connect you with a different representative to assist you further.",3,2,4,2,3
